Book_ID,Title,Author,Genre,Published_Y,Price,Stock
54,Upgradable value-add,Anthony Moreno,Biography,1917,7.91,38
55,Cross-platform value,Kevin Webb,Fantasy,1950,46.64,3
56,Front-line leadinged,Cole Griffith,Non-Fiction,2006,37.16,53
57,Multi-lateral unifor,Denise Gibson,Non-Fiction,1981,15.77,29
58,Universal system-wor,Rebecca Miller,Non-Fiction,2010,26.14,21
59,Versatile systematic,Christina Bradford,Fiction,1983,32.94,27
60,Intuitive multimedia,Laurie Ramirez DVM,Science Fiction,1947,15.78,16
61,De-engineered multi-,Julia Hernandez,Fiction,1930,41.17,48
62,Advanced coherent pr,Laura Adams,Non-Fiction,2010,27.76,36
63,Ergonomic asynchrono,Doris Lopez,Fantasy,1981,6.1,82
64,User-centric modular,Perry White,Mystery,2010,16.54,55
65,Cross-platform unifo,Rodney Anderson,Biography,1965,20.95,32
66,Assimilated asymmetr,Mr. George Williams,Mystery,1989,45.31,3
67,Stand-alone object-o,Timothy Wilson DVM,Biography,1987,20.39,16
68,Reduced composite mi,Jamie Ellis,Romance,1977,31.94,91
69,Public-key multi-sta,Katrina Tran,Science Fiction,1976,40.19,0
70,Re-contextualized lo,Holly Griffith,Fiction,1930,40.61,90
71,Visionary secondary ,Heather Anderson,Biography,1911,19.91,47
72,Intuitive dynamic st,Taylor Rose,Fiction,1959,9.27,79
73,Quality-focused cont,Brian Johnson,Science Fiction,2022,47.81,76
74,De-engineered optima,Kathleen Perez,Romance,1995,39.02,87
75,Re-contextualized co,Gary Mercado,Fiction,1921,41.43,80
76,Object-based methodi,Kayla Riggs,Mystery,1988,34.67,23
77,Digitized empowering,Randall Wilkerson,Fantasy,1954,31.66,91
78,User-centric dedicat,Jennifer Powers,Science Fiction,1924,46.04,32
79,Operative optimal co,Cheryl Blake,Science Fiction,1927,38.51,42
80,Enterprise-wide moti,Brianna Green,Fiction,2024,22.87,88
81,Digitized 6thgenerat,Christopher Fox,Science Fiction,1987,6.59,76
82,Inverse human-resour,Stephanie Liu,Non-Fiction,1901,12.56,38
83,Triple-buffered tert,Bridget Cameron,Romance,2003,15.28,85
84,Fundamental 24/7 ben,Amanda Kirk,Non-Fiction,1988,40.4,97
85,Business-focused hig,Danny Johnson,Biography,1974,49.86,29
86,Right-sized modular ,Brandon Wells,Science Fiction,1925,35.81,86
87,Distributed cohesive,Steven Howard,Non-Fiction,1990,44.26,77
88,Upgradable bottom-li,James Flowers,Science Fiction,2022,33.53,26
89,Team-oriented bifurc,Teresa Williams MD,Romance,2025,18.43,70
90,Team-oriented value-,Nathaniel Wright,Non-Fiction,2007,7.39,74
91,Visionary stable app,Amanda Norris,Fiction,1917,22.02,59
92,Expanded bifurcated ,Allison Schwartz,Romance,2009,33.85,21
93,Configurable didacti,Heather Hill,Fiction,1914,16.81,10
94,Switchable secondary,James Reed,Mystery,1995,24.35,33
95,Streamlined global f,Matthew Rodgers,Mystery,1996,35.66,19
96,Programmable intangi,Lauren Barron,Science Fiction,1992,18.05,92
97,Persevering methodic,Nicole Williams,Science Fiction,1903,45.33,41
98,Assimilated incremen,Shirley Hess PhD,Science Fiction,2022,23.79,41
99,Advanced 6thgenerati,Jackson Smith,Romance,1993,24.41,41
100,Devolved intangible ,Hannah Carrillo,Fiction,1920,14.26,89
101,Phased dynamic orche,Molly Hunter,Fiction,1944,16.21,100
102,Fully-configurable c,Rachel Rogers,Science Fiction,1941,13.7,45
103,Pre-emptive interact,Kimberly Strickland,Non-Fiction,1958,17.22,75
104,Self-enabling compos,Andrew Brown,Fiction,1908,34.27,99
105,Advanced fault-toler,Leslie Foster,Non-Fiction,2020,30.03,5
106,Seamless impactful f,Paula Johnson,Mystery,1931,14.78,43
107,Fully-configurable e,Stephen Ray,Fantasy,1903,7.29,18
108,Synergized web-enabl,Tyler Brady,Science Fiction,1926,31.3,46
109,Managed optimal fram,Amy Evans,Non-Fiction,2008,48.79,61
110,Integrated backgroun,Travis Dunn,Non-Fiction,1942,27.02,42
111,Reactive responsive ,Crystal Jackson,Science Fiction,1993,35.05,9
112,Team-oriented hybrid,Russell Mahoney,Romance,2024,14.9,39
113,User-friendly stable,Victoria Anderson,Mystery,1943,15.4,23
114,Extended 3rdgenerati,George Reynolds,Romance,1911,13.22,42
115,Monitored contextual,Angela Lane,Romance,2014,43.93,31
116,Enterprise-wide empo,Robin Carter,Science Fiction,1964,43.49,49
117,Networked 24hour all,Sara Brooks,Romance,1991,25.34,72
118,Re-contextualized in,William Mack,Fantasy,2014,12.63,73
119,Decentralized 6thgen,Kathy Kelly,Romance,2024,22.63,66
120,Robust 6thgeneration,David Lucas,Mystery,1964,48.78,30
121,Diverse interactive ,Roger Hernandez,Biography,2016,36.94,75
122,Seamless 3rdgenerati,Patricia Benton,Science Fiction,2012,14.55,21
123,Self-enabling tangib,Steven Perry,Fiction,1941,15.43,0
124,Expanded bandwidth-m,Michael Rodriguez,Fantasy,2008,48.57,23
125,De-engineered dynami,Allison Cameron,Biography,1925,22.61,73
126,Organic 24/7 moderat,Paul Castro,Non-Fiction,1948,44.56,39
127,Digitized high-level,Mitchell King,Biography,1961,46.55,79
128,Ameliorated static t,Michael Hancock,Science Fiction,1935,30.13,42
129,Realigned high-level,Erica Myers,Biography,1915,45.54,38
130,Profit-focused syste,John Luna,Fantasy,1932,5.18,73
131,Proactive 3rdgenerat,William Vazquez,Fantasy,1930,20.76,99
132,Distributed bandwidt,James Garza,Mystery,1996,33.59,76
133,Reduced zero adminis,Nicholas Miller,Mystery,1937,33.94,54
134,Seamless executive p,Janet Gonzalez,Fiction,1925,12.73,41
135,Optimized secondary ,Charles Cox,Fantasy,1944,34.2,67
136,Self-enabling second,Robert Stewart,Non-Fiction,2012,28.05,58
137,Extended homogeneous,James Blankenship,Romance,2017,18.06,84
138,Exclusive zero toler,Katherine Neal,Mystery,1966,40.3,100
139,Optimized background,Kimberly Ortiz,Romance,1950,14.23,48
140,Digitized 24hour arc,Eddie Fischer,Science Fiction,1941,40.42,33
141,Enhanced global time,Maria James,Romance,2017,35.42,87
142,Programmable radical,Nicholas Wright,Biography,2004,34.65,19
143,Customer-focused imp,Daniel Williams,Science Fiction,1938,38.29,76
144,Up-sized global coll,Robert Carlson,Science Fiction,2023,37.18,21
145,Diverse systemic ben,Rachel Morgan,Science Fiction,1924,45.36,74
146,Right-sized intangib,Christina Gilbert MD,Non-Fiction,2002,30.69,74
147,Persistent 24hour ap,Stephanie Higgins,Mystery,1918,15.19,73
148,Future-proofed upwar,Deanna Kim,Fantasy,1966,37.16,87
149,Extended analyzing i,Tony Williams,Biography,1917,20.46,18
150,Horizontal regional ,Bailey Hicks,Biography,1938,26.21,59
151,Extended high-level ,Sarah Boyd DVM,Biography,2007,27.67,1
152,Switchable coherent ,Angela Thomas,Science Fiction,1914,38.04,18
153,Intuitive impactful ,Steven Garcia,Non-Fiction,1934,27.93,3
154,Implemented hybrid c,Thomas Rose,Fantasy,2000,15.08,7
155,Down-sized logistica,Anthony Montoya,Non-Fiction,1942,47.84,94
156,Grass-roots exuding ,Lisa Hayes,Fiction,1931,28.52,55
157,Programmable 6thgene,Edward Li,Mystery,1988,10.79,24
158,User-centric tertiar,John Hernandez,Biography,2006,46.64,76
159,Open-architected 6th,Sean Evans,Fantasy,1991,30.37,51
160,De-engineered unifor,Cody Henry,Fantasy,1908,24.18,22
161,Multi-lateral homoge,Jennifer Good,Science Fiction,1995,5.3,91
162,Grass-roots 4thgener,Jason Garcia,Non-Fiction,2013,42.47,99
163,Triple-buffered obje,Susan Lopez,Biography,1909,45.08,90
164,Automated 24hour wor,Jennifer Taylor,Fantasy,1961,26.82,19
165,Persevering multi-st,Randall Sanchez,Science Fiction,1918,48.78,14
166,Persevering local ha,Taylor Hunter,Mystery,1991,24.91,32
167,Optimized executive ,Brittney Garcia,Science Fiction,2014,44.87,53
168,Inverse holistic foc,Andrea Hicks,Mystery,1923,33.72,0
169,Optimized 5thgenerat,Dr. Allison Dillon,Mystery,1961,9.25,14
170,Horizontal direction,Chloe Warner,Fiction,2008,9.33,31
171,Universal mobile par,James Thomas,Science Fiction,1935,6.19,86
172,Focused stable archi,Alyssa Russell,Biography,2010,20.09,23
173,Inverse value-added ,Zachary Golden,Mystery,1933,36.39,81
174,Optimized leadingedg,Paul Herrera,Science Fiction,1933,48.72,26
175,Virtual needs-based ,Karen Smith,Mystery,1947,8.81,15
176,Enterprise-wide need,Jose Mitchell,Mystery,1976,45.86,72
177,Compatible intangibl,Greg Salas,Fiction,1904,44.87,7
178,Expanded system-wort,Amy Hernandez,Non-Fiction,1931,16.66,24
179,Monitored eco-centri,Deanna Hatfield,Fiction,1986,12.09,53
180,Fully-configurable o,Connie Jennings,Biography,1930,13.07,50
181,Open-architected for,Lauren Mack,Science Fiction,1904,32.06,25
182,Optimized discrete s,Robert Mitchell,Non-Fiction,1974,36.83,75
183,Advanced leadingedge,Daniel Ballard,Romance,1929,38.28,5
184,Reverse-engineered g,Shannon Benson,Mystery,1967,12.47,24
185,Face-to-face backgro,Mike Holmes,Non-Fiction,1938,13.71,75
186,Open-source bandwidt,Jennifer Smith,Fantasy,1991,46.34,0
187,Secured intangible p,Samantha Meyer,Mystery,2003,36.17,42
188,Switchable zero admi,Jonathan Jones,Science Fiction,1932,14.27,89
189,Reverse-engineered r,James Small,Mystery,1942,48.85,13
190,Inverse transitional,Brittany Scott,Biography,1924,12.37,57
191,Realigned regional u,Maxwell Kramer,Romance,2021,38.33,48
192,Optimized asymmetric,Frank Steele,Non-Fiction,1947,9.87,49
193,Secured non-volatile,Brandy Smith,Science Fiction,1911,11.86,52
194,Phased disintermedia,Ryan Murray,Fantasy,1967,40.85,15
195,Organic context-sens,Timothy Patel,Romance,1973,12.27,64
196,Versatile dedicated ,George Ortiz,Biography,1956,45.4,8
197,Total user-facing co,Ann Adams,Romance,1917,29.42,27
198,Right-sized incremen,Richard Stone,Science Fiction,2019,26.44,4
199,Networked content-ba,Andrew Watson,Non-Fiction,2016,30.1,96
200,Intuitive leadingedg,Joe Duncan,Mystery,1924,45.95,46
201,Advanced content-bas,Angela Allen,Non-Fiction,1984,27.29,85
202,Realigned asymmetric,Brandon Crawford,Biography,2008,23.05,49
203,Multi-channeled exud,Kevin Phillips,Romance,1901,36.83,69
204,Function-based metho,Gina Harding,Biography,1987,39.57,0
205,Implemented full-ran,Lindsey Lee,Science Fiction,1947,41.75,78
206,Innovative cohesive ,Jesse Jacobs,Fiction,1934,46.09,77
207,Multi-tiered optimiz,Marcus Blevins,Fantasy,1982,28.4,95
208,Open-source systemat,Justin Schultz,Science Fiction,1996,8.25,93
209,Re-engineered value-,Jesus Johnson,Non-Fiction,1907,42.69,94
210,Public-key contextua,Emily Sherman,Fiction,1921,43.26,25
211,Ergonomic dynamic st,Alexander Jones,Science Fiction,1958,32.26,8
212,Stand-alone exuding ,Lisa Carpenter,Fantasy,1963,33.37,87
213,Persistent clear-thi,Kimberly Rowland,Fiction,1917,39.86,90
214,Reduced exuding capa,Lori Bryant,Romance,1999,49.08,80
215,Extended optimizing ,Dominic Whitney,Mystery,1938,11.01,62
216,Cross-group 6thgener,William Edwards,Science Fiction,2013,21.04,46
217,Optimized systematic,Diane Lindsey,Science Fiction,1992,9.59,41
218,Focused client-serve,Haley Dunn,Non-Fiction,1947,20.98,97
219,Phased multi-state e,James Burgess,Biography,2025,17.17,41
220,Configurable 24hour ,Sonia Barnes,Fantasy,2018,23.57,54
221,Profit-focused syste,David Forbes,Mystery,2004,38.49,85
222,Configurable multi-t,Michael Henderson,Romance,1923,49.61,25
223,Implemented methodic,Mark May,Science Fiction,2024,10.19,7
224,Up-sized attitude-or,Carolyn Saunders,Science Fiction,1973,38.37,9
225,Digitized secondary ,Nicole Wright,Fiction,1900,45.58,30
226,Synchronized logisti,Anthony Scott,Biography,1998,48.55,23
227,Face-to-face executi,Casey Alexander,Science Fiction,1948,27.61,45
228,Profit-focused deman,Anthony Campbell,Romance,1905,12.19,9
229,Managed uniform thro,David Marshall,Mystery,2014,14.89,100
230,Re-contextualized re,Kelly Mullen,Science Fiction,1941,35.54,17
231,Face-to-face non-vol,Heather Adams,Science Fiction,2015,11.89,65
232,Expanded clear-think,Kevin Oconnor,Romance,1998,35.53,39
233,Exclusive demand-dri,Allen Lamb,Biography,1909,28.48,74
234,Down-sized even-keel,Deanna Shepherd,Biography,2006,47.31,92
235,User-friendly client,Jason Heath,Mystery,1977,26.14,99
236,Networked 24/7 appro,Robert Burnett,Mystery,1938,19.49,1
237,Compatible radical i,Norman Jackson,Science Fiction,1949,23.89,44
238,Enterprise-wide need,Mrs. Samantha Boyd,Romance,1992,37.36,31
239,Decentralized direct,Rebekah Clark,Non-Fiction,1971,20.92,10
240,Re-engineered asynch,Kenneth Jones,Fantasy,1965,34.08,60
241,Profound 4thgenerati,Tiffany Davidson,Romance,1984,33.99,77
242,Operative real-time ,Jose Martinez,Mystery,1943,23.45,68
243,Multi-channeled dema,Ana Vazquez,Mystery,1916,14.17,24
244,Profit-focused actua,Amanda Schroeder,Romance,1966,35.73,19
245,Open-source 6thgener,Walter Reed,Mystery,2022,48.4,42
246,Proactive motivating,Ronald Escobar,Biography,1987,45.15,7
247,Versatile multimedia,Monica Soto,Fiction,2002,35.52,76
248,Multi-lateral static,Lee Thompson,Biography,2000,14.58,20
249,Secured well-modulat,Erin Dominguez,Science Fiction,1907,7.81,86
250,Digitized didactic h,Kevin Hill,Fiction,1988,34.82,41
251,Total attitude-orien,Nicole Stone,Mystery,1997,36.33,100
252,Fundamental mobile o,Sandra Smith,Romance,1970,12.3,19
253,Cloned bandwidth-mon,Christopher Mason,Fantasy,2001,12.92,48
254,Switchable intermedi,Cathy Wright,Romance,1990,45.17,70
255,Implemented dynamic ,Nathan Smith,Biography,1914,33.09,18
256,Persistent context-s,Allison Hodge,Romance,1952,21.62,5
257,Optimized holistic e,Teresa May,Romance,2005,37.27,50
258,Seamless asynchronou,Sydney Gray,Science Fiction,1960,23.12,42
259,Assimilated motivati,Natalie Jenkins,Biography,2013,14.1,54
260,Object-based impactf,Andrew Campbell,Fantasy,1963,24.78,73
261,Customer-focused non,Lisa Burton,Non-Fiction,1957,29.02,43
262,Open-source holistic,Douglas Maldonado,Romance,1996,29.34,13
263,Multi-lateral leadin,Tony Richardson,Romance,1951,14.06,89
264,Ameliorated modular ,Angela Johnson,Fantasy,2017,9.88,34
265,Adaptive maximized d,Christina Anderson,Mystery,2019,10.07,31
266,Adaptive even-keeled,Gabriel Young,Biography,1999,34.39,20
267,Programmable methodi,William Smith,Science Fiction,2004,37.59,91
268,Cross-platform backg,Elizabeth Bryan,Science Fiction,1966,28.51,83
269,Sharable analyzing m,Veronica Monroe,Romance,2014,11.18,91
270,Advanced 4thgenerati,Jody Johnson,Fantasy,1973,45.92,12
271,Polarized executive ,Mrs. Marilyn Wilson,Non-Fiction,1958,18.86,15
272,Sharable hybrid time,Mr. Benjamin Moore,Fiction,1981,45.01,5
273,Reduced transitional,Ms. Donna Harvey DDS,Romance,1966,38.94,100
274,Fully-configurable s,Barbara Rowe,Mystery,1971,22.91,86
275,User-friendly optima,Rebecca Ellis,Mystery,1942,42.72,54
276,Secured non-volatile,Ryan Snyder,Fiction,1901,12.11,60
277,Expanded full-range ,Natalie Green,Fantasy,2017,46.66,52
278,Multi-layered system,Michelle Hicks,Science Fiction,2015,40.73,22
279,Advanced tertiary in,Derek Woods,Romance,1954,33.49,81
280,Managed client-serve,Andrea Molina,Biography,1951,17.48,4
281,Vision-oriented clie,Susan Erickson,Biography,1961,18.14,32
282,Distributed bottom-l,Mary Leonard,Science Fiction,2024,21.56,17
283,Business-focused sol,Larry Wilson,Non-Fiction,1951,46.57,24
284,Diverse modular hub,Thomas Walker,Non-Fiction,1960,6.31,96
285,Mandatory 24hour pro,Zachary Tanner,Fiction,1961,19.29,80
286,Vision-oriented dema,Kimberly Melendez,Fiction,1987,44.23,1
287,Programmable optimal,Michael Osborn,Science Fiction,1952,48.5,14
288,Extended homogeneous,James Gay,Fiction,2010,36.11,55
289,Polarized global wor,Veronica Delacruz,Mystery,1911,35.35,45
290,Focused full-range s,Steven Baldwin,Biography,1918,20.95,99
291,Implemented mission-,Jennifer Hammond,Fiction,1977,26.11,14
292,Decentralized neutra,Anna Anderson,Mystery,1901,10.37,60
293,Enterprise-wide cohe,Stephanie Hansen,Science Fiction,1900,35.12,48
294,Reverse-engineered z,Jesus Yoder,Biography,2021,33.81,63
295,Front-line discrete ,Trevor Contreras,Biography,1969,22.26,21
296,Reactive 4thgenerati,Shelby Watts,Science Fiction,1995,13.68,31
297,Right-sized client-s,Elizabeth Robinson,Fantasy,1910,16.6,76
298,Open-source holistic,Eugene Whitney,Biography,1977,40.15,75
299,Pre-emptive modular ,Christian Dyer,Biography,2001,11.07,10
300,Devolved bandwidth-m,Joel Mays,Romance,2006,22.53,75
301,Synergized static co,Christopher Clark,Science Fiction,1995,22.81,65
302,Multi-layered asynch,Jennifer Jackson,Fantasy,2015,28.9,96
303,Synergized systemati,Amanda Massey,Romance,1982,39.67,100
304,Decentralized contex,Ann Robles,Fiction,1964,13.93,72
305,Cloned motivating pr,Jose Walters,Science Fiction,1977,39.12,96
306,Advanced contextuall,Taylor Ferguson,Biography,1932,49.76,63
307,Cross-platform scala,Shawn Jensen,Biography,1952,9.16,90
308,Persevering zero tol,Sheila Reeves,Science Fiction,1975,39.54,59
309,Intuitive fresh-thin,Julie Murray,Non-Fiction,1997,21.35,33
310,Focused foreground e,Robert Ingram,Biography,1900,24.67,25
311,Team-oriented heuris,Rodney Williams,Science Fiction,1905,27.6,1
312,Expanded uniform dat,Natalie Cochran,Fiction,1902,33.8,89
313,Public-key even-keel,Mary West,Biography,1914,28.31,55
314,Seamless responsive ,John Yang,Fantasy,1924,45.05,33
315,Re-engineered intang,Joan Ward,Science Fiction,1915,14.76,59
316,Public-key needs-bas,Samuel Taylor,Romance,1925,27.62,97
317,Sharable explicit co,Kara Mills,Romance,2014,42.44,3
318,Multi-layered needs-,Christopher Fox,Fiction,2011,41.75,69
319,Multi-channeled maxi,David Oliver,Fantasy,2008,36.6,35
320,Monitored optimal ne,Jason Crawford,Mystery,1916,21.47,57
321,Profound value-added,Susan Gonzales,Biography,1993,43.31,88
322,Synchronized 6thgene,Terry Arnold,Romance,1935,24.1,78
323,Enhanced web-enabled,Gary Carpenter,Fantasy,1985,15.74,10
324,Ergonomic optimal cu,Mary Brown,Fantasy,1984,35.63,57
325,Distributed homogene,Jonathan Turner,Romance,2022,33.44,0
326,Sharable encompassin,Omar Rogers,Fiction,1950,43.51,84
327,Adaptive full-range ,Ronald Wood,Biography,1975,7.76,40
328,Devolved upward-tren,Barbara Lee,Fantasy,1958,22.88,21
329,Digitized bifurcated,Kendra Villarreal,Fiction,1959,15.91,39
330,Assimilated 24hour w,Mr. Austin Gilbert MD,Mystery,1922,14.85,17
331,Networked dedicated ,Anna Mann,Non-Fiction,1968,38.49,60
332,Ameliorated system-w,Stephen Alexander,Romance,1916,22.51,68
333,Optional zero tolera,Kenneth Petersen,Fiction,1939,9.47,87
334,Implemented motivati,Christina Taylor,Non-Fiction,1913,46.21,37
335,Right-sized modular ,Chris Fisher,Fiction,1923,8.74,52
336,Synchronized foregro,Jessica Tucker,Non-Fiction,1972,16.27,60
337,Synergized intangibl,Zachary Andersen,Biography,1965,32.25,33
338,Expanded full-range ,Donald Landry,Mystery,1999,7.43,25
339,Reactive explicit ne,Natasha Johnson,Fantasy,1998,42.24,65
340,Integrated dedicated,William Stone,Romance,1908,11.37,51
341,Digitized incrementa,Dr. Maria Snyder PhD,Fiction,2013,43.62,99
342,Switchable holistic ,Brian Gross,Fantasy,2024,34.33,25
343,Seamless non-volatil,Melissa Lucas,Science Fiction,1993,32.82,90
344,Realigned asynchrono,Rebecca Patterson,Biography,2000,47.63,83
345,Enhanced contextuall,Brandy Buchanan,Biography,2010,33.54,57
346,De-engineered dedica,Justin Jones,Science Fiction,2012,27.46,56
347,De-engineered client,Jared Brooks,Fantasy,1915,49.31,61
348,Down-sized asymmetri,Kelly Greene,Romance,1954,17.87,92
349,Configurable context,Sherry Cox,Romance,1938,10.34,82
350,Versatile leadingedg,Johnny Figueroa,Biography,2015,14.93,96
351,Pre-emptive cohesive,Kerry Waters,Fiction,1948,17.83,8
352,Visionary dynamic im,Chris Moore,Non-Fiction,1911,6.24,28
353,Distributed 5thgener,Christina Phelps,Science Fiction,1966,7.63,58
354,Cross-platform syste,Christopher Miller,Fantasy,1914,34.99,44
355,Assimilated encompas,Mark Castro,Fiction,1976,38.41,7
356,Devolved analyzing a,Carl King,Romance,2002,48.87,95
357,Self-enabling maximi,Patricia Kirby,Fiction,2000,17.7,49
358,User-centric zero-de,Mrs. Jill Elliott DVM,Fiction,1946,44.25,46
359,Cross-group methodic,Kara Anthony,Non-Fiction,1921,11.21,47
360,Down-sized attitude-,Raymond Smith,Biography,1934,16.75,10
361,Self-enabling increm,Jeffrey Rasmussen,Romance,1909,27.31,75
362,De-engineered dedica,Robert Moore,Non-Fiction,1983,38.29,82
363,Self-enabling clear-,Paul White,Fantasy,1907,7.44,42
364,Optimized 6thgenerat,Cynthia Boyer,Mystery,2024,46.06,96
365,Reactive asymmetric ,Michael Bryant,Non-Fiction,1928,41.0,73
366,Public-key zero-defe,Ian Foster,Science Fiction,1962,31.06,58
367,Object-based dedicat,Marissa Hall,Fiction,2009,28.46,96
368,Centralized explicit,Laurie Cruz,Romance,1905,11.57,8
369,User-friendly demand,Tammy Mahoney,Mystery,1988,43.79,19
370,Visionary national t,Alexandra Reed,Fantasy,1906,15.45,92
371,Phased intermediate ,Anthony Campbell,Biography,1981,33.33,35
372,Seamless next genera,Daniel Holmes,Mystery,1936,14.6,65
373,Open-source user-fac,Anthony Fields,Fantasy,1981,39.41,47
374,Object-based systema,Anthony Wyatt,Romance,1926,5.93,82
375,User-friendly logist,Susan Rivers,Non-Fiction,1930,38.97,29
376,Realigned national s,Jeremy Benjamin,Biography,1969,13.89,45
377,Integrated direction,Patrick Hart,Mystery,1947,33.75,31
378,Multi-lateral cohere,Alexis Banks,Mystery,1916,20.62,12
379,User-centric client-,Kimberly Larsen,Science Fiction,1927,28.92,19
380,Monitored content-ba,Max Woods,Biography,1984,38.76,31
381,Fundamental logistic,Gary Lee,Fiction,1974,14.77,73
382,Profit-focused local,Sean Dunn,Non-Fiction,1940,21.44,64
383,Innovative demand-dr,Matthew Moody,Science Fiction,2023,37.58,26
384,Ergonomic content-ba,Kelly Schneider,Fantasy,1980,40.62,6
385,Compatible eco-centr,Angela Garrison,Fiction,2015,14.26,91
386,Synergized global mi,Dylan Davila,Romance,1900,7.38,78
387,Automated fault-tole,Monica Rivers,Science Fiction,1987,43.34,23
388,Synchronized actuati,Nancy Padilla,Science Fiction,1925,21.09,47
389,Right-sized empoweri,Jackie Lawrence,Fiction,2004,30.0,11
390,Exclusive asymmetric,Ian Thomas,Mystery,1902,44.37,42
391,Fully-configurable f,Brittany Murphy,Fiction,1997,25.64,61
392,Distributed multi-st,Dr. Cody Christensen DDS,Non-Fiction,1973,42.38,41
393,Automated directiona,Christie Gomez,Fiction,2020,30.82,44
394,Grass-roots demand-d,Jackson Mccann,Biography,1990,27.18,67
395,Open-source zero tol,Teresa Livingston,Romance,2015,38.76,46
396,Advanced context-sen,Seth Aguilar,Science Fiction,1914,19.34,31
397,Decentralized full-r,Jacob Miller,Biography,2014,9.8,3
398,Public-key optimizin,Russell Gutierrez,Non-Fiction,1961,14.87,45
399,Cloned zero toleranc,Jonathan Palmer,Fantasy,1992,13.87,25
400,Secured motivating k,Jeffrey Hale,Non-Fiction,1951,5.79,68
401,Phased well-modulate,James Barrett,Romance,2009,14.93,4
402,Integrated 6thgenera,Angel Brown,Non-Fiction,1907,24.95,94
403,Decentralized intang,Joseph Carlson,Romance,1962,27.49,6
404,Fully-configurable l,Stephanie Davis,Biography,1998,25.76,52
405,Self-enabling asynch,Christopher Moore,Non-Fiction,1916,25.27,65
